student_program_id,student_id,program_id,program_status,program_start,grad_date,program_end
71,1337,1,Dropped,08/16/04,,
72,1339,1,Graduated,08/15/11,06/11/16,12/07/15
73,1362,1,In Process,06/01/21,,
74,1376,1,Graduated,08/17/09,06/19/10,05/25/10
75,1384,1,Terminated,08/14/06,,
76,1405,1,Graduated,08/15/05,06/09/07,05/18/07
77,1421,1,Dropped,08/14/06,,
78,1430,1,Terminated,08/14/06,,
79,1453,1,Terminated,08/18/03,,
80,1456,1,Terminated,08/18/03,,
81,1459,1,Dropped,08/18/03,,
82,1474,1,Terminated,08/14/06,,
83,1502,1,Graduated,08/20/08,06/19/10,05/25/10
84,1522,1,Graduated,08/20/08,06/16/12,05/22/12
85,1549,1,Graduated,08/17/09,06/14/14,05/19/14
86,1585,1,Graduated,08/15/05,06/09/07,05/18/07
87,1602,1,Graduated,08/20/08,01/28/12,05/24/11
88,1622,1,Graduated,08/15/06,06/19/10,05/25/10
89,1647,1,Terminated,01/14/08,,
90,1658,1,Graduated,08/13/07,01/16/10,12/14/09
91,1674,1,Terminated,08/17/09,,
92,1680,1,Graduated,08/16/06,01/29/11,12/20/10
93,1717,1,Graduated,08/13/07,06/16/12,05/22/12
94,1763,1,Graduated,08/13/07,06/20/09,05/25/09
95,1782,1,Terminated,08/16/04,,
96,1816,1,Graduated,08/14/06,06/14/08,05/19/08
97,1835,1,Dropped,08/13/07,,
98,1841,1,Graduated,08/13/07,01/16/10,12/14/09
99,1865,1,Terminated,08/17/09,,
100,1890,1,Graduated,08/14/06,06/14/08,05/19/08
101,1908,1,Terminated,08/14/06,,
102,1921,1,Graduated,08/16/04,06/20/09,12/22/08
103,1943,1,Graduated,08/20/08,06/18/11,05/24/11
104,1969,1,Graduated,08/14/06,07/24/09,07/24/09
105,1990,1,Graduated,08/14/06,06/14/08,05/19/08
106,2010,1,Graduated,08/14/06,06/14/08,05/19/08
107,2029,1,Graduated,08/14/06,12/22/08,12/22/08
108,2049,1,Graduated,08/13/07,06/15/13,05/13/13
109,2088,1,In Process,01/01/22,,
110,2091,1,Dropped,08/13/07,,
111,2097,1,Terminated,01/17/05,,
112,2103,1,Terminated,01/17/05,,
113,2107,1,Terminated,01/17/05,,
114,2156,1,Terminated,06/01/05,,
115,2170,1,Terminated,08/17/15,,
116,2182,1,Terminated,08/17/09,,
117,2199,1,Graduated,08/15/05,06/16/12,05/22/12
118,2262,1,Graduated,01/14/08,06/19/10,05/25/10
119,2281,1,Graduated,08/13/07,06/19/10,05/25/10
120,2319,1,Graduated,08/20/08,01/26/13,12/10/12
121,2349,1,Graduated,01/17/11,06/15/19,07/27/18
122,2384,1,Graduated,01/14/08,01/29/11,12/20/10
123,2414,1,Graduated,08/13/07,01/29/11,12/20/10
124,2449,1,Graduated,08/15/05,06/20/09,05/25/09
125,2490,1,Graduated,08/18/08,06/19/10,05/25/10
126,2508,1,Graduated,08/20/08,06/19/10,05/25/10
127,2525,1,Graduated,08/15/05,06/19/10,05/25/10
128,2550,1,Terminated,08/15/05,,
129,2593,1,Graduated,01/19/09,06/16/12,05/22/12
130,2623,1,Terminated,06/21/10,,
131,2639,1,In Process,08/01/21,,
132,2668,1,Graduated,08/15/05,06/19/10,05/25/10
133,2720,1,Terminated,08/15/05,,
134,2771,1,Graduated,01/14/08,01/29/11,12/20/10
135,2796,1,Graduated,08/15/05,02/07/15,12/08/14
136,2846,1,Graduated,08/15/11,02/07/15,07/25/14
137,2864,1,Graduated,08/13/18,10/15/22,05/20/22
138,2884,1,Terminated,08/14/06,,
139,2888,1,Terminated,11/17/05,,
140,2892,1,Terminated,11/22/05,,
141,2895,1,Graduated,08/17/09,06/18/11,05/24/11
142,2916,1,Graduated,01/19/09,06/18/11,05/24/11
143,2940,1,Graduated,08/20/08,06/19/10,05/25/10
144,2958,1,Graduated,08/17/09,06/18/11,05/24/11
145,2977,1,Graduated,01/19/09,06/18/11,05/24/11
146,2998,1,Graduated,08/15/11,02/06/16,12/07/15
147,3026,1,Dropped,08/15/05,,
148,3044,1,Terminated,08/16/10,,
149,3050,1,Terminated,08/01/20,,
150,3056,1,Dropped,08/14/06,,
151,3059,1,Terminated,08/14/06,,
152,3109,1,Terminated,08/14/06,,08/17/22
153,3143,1,Graduated,08/20/08,01/29/11,12/20/10
154,3165,1,Graduated,08/20/08,06/18/11,05/24/11
155,3179,1,Graduated,08/19/13,06/13/15,05/18/15
156,3200,1,Transferred,08/14/06,,
157,3227,1,Graduated,08/14/06,06/18/11,05/24/11
158,3268,1,In Process,01/01/20,,
159,3285,1,Terminated,08/19/13,,
160,3291,1,Transferred,01/15/07,,
